surname,strength,surname_clean
आजाद,93,आजाद
आजिम,1,आजिम
आझमी,1,आझमी
आतिग,1,आतिग
आदिल,3,आदिल
आदील,1,आदील
आनंद,7,आनंद
आनन्द,12,आनन्द
आफताब,17,आफताब
आफताव,1,आफताव
आफरीदी,1,आफरीदी
आफ़रीदी,1,आफ़रीदी
आफ्टर,1,आफ्टर
आबदीन,7,आबदीन
आबास,1,आबास
आबिद,17,आबिद
आबीद,2,आबीद
आबीदन,1,आबीदन
आबीदीन,5,आबीदीन
आबेद,1,आबेद
आबेदिन,1,आबेदिन
आबेदीन,9,आबेदीन
आब्दीन,3,आब्दीन
आम,1,आम
आमिर,4,आमिर
आमीन,2,आमीन
आमीर,1,आमीर
आयातुल्लाह,1,आयातुल्लाह
आयुब,2,आयुब
आयूब,1,आयूब
आरजु,1,आरजु
आरजू,3,आरजू
आरफ़ीन,1,आरफ़ीन
आरफीन,1,आरफीन
आरा,3,आरा
आरिक,1,आरिक
आरिफ,42,आरिफ
आरिफ़,1,आरिफ़
आरिस,1,आरिस
आरी,1,आरी
आरीफ,7,आरीफ
आर्य,24,आर्य
आर्या,4,आर्या
आर्या.,2,आर्या
आलम,2905,आलम
आलमं,1,आलमं
आलमक,1,आलमक
आलमगिर,1,आलमगिर
आलमगीर,18,आलमगीर
आला,1,आला
आलाम,5,आलाम
आलाह,1,आलाह
आलिम,1,आलिम
आली,2,आली
आलीम,3,आलीम
आलों,1,आलों
आल्हा,1,आल्हा
आवदीन,7,आवदीन
आवदृदीन,1,आवदृदीन
आवास,1,आवास
आविद,5,आविद
आवीद,4,आवीद
आवेदिन,4,आवेदिन
आवेदीन,4,आवेदीन
आशान,1,आशान
आशिक,10,आशिक
आशिफ,2,आशिफ
आशिम,2,आशिम
आशीक,3,आशीक
आशीन,3,आशीन
आसिक,8,आसिक
आसिन,4,आसिन
आसिफ,8,आसिफ
आसिम,2,आसिम
आसीक,1,आसीक
आसीन,18,आसीन
आसीफ,2,आसीफ
आसीम,1,आसीम
