surname,strength,surname_clean
धोवी,4,धोवी
धौबी,3,धौबी
न,1,न
नं0,2,नं
नंजर,1,नंजर
नंद,1,नंद
नंदन,1,नंदन
नंदनराम,1,नंदनराम
नइम,2,नइम
नइमी,3,नइमी
नईम,28,नईम
नईमउदीन,1,नईमउदीन
नईमउदृदीन,1,नईमउदृदीन
नईमी,5,नईमी
नईमुद्दीन,1,नईमुद्दीन
नकाश,1,नकाश
नगरी,10,नगरी
नगारी,20,नगारी
नगीना,1,नगीना
नजम,6,नजम
नजमुदुदीन,1,नजमुदुदीन
नजर,1,नजर
नज़र,2,नज़र
नजाम,27,नजाम
नजामउदीन,2,नजामउदीन
नजामउद्दीन,2,नजामउद्दीन
नजीब,1,नजीब
नजीर,9,नजीर
नजीवउद्वीन,1,नजीवउद्वीन
नजू,1,नजू
नट,43,नट
नत,4,नत
नताब,1,नताब
नथुनी,1,नथुनी
नदवी,4,नदवी
नदीर,1,नदीर
नन्दन,1,नन्दन
नन्हे,1,नन्हे
नन्‍हा,1,नन्हा
नफीस,2,नफीस
नबाब,2,नबाब
नबिजान,2,नबिजान
नबी,11,नबी
नबींना,1,नबींना
नबीजान,1,नबीजान
नबीना,2,नबीना
नमन,1,नमन
नम्तुल,1,नम्तुल
नयन,9,नयन
नयम,1,नयम
नयाक,1,नयाक
नयाज,1,नयाज
नरायण,1,नरायण
नरोतम,2,नरोतम
नवनीत,1,नवनीत
नवल,3,नवल
नवशाद,1,नवशाद
नवाज़,1,नवाज़
नवाडीह,1,नवाडीह
नवादा,1,नवादा
नवाब,8,नवाब
नविजान,1,नविजान
नविन,1,नविन
नविबक्स,1,नविबक्स
नवी,10,नवी
नवीजान,2,नवीजान
नवीन,5,नवीन
नव्वार,1,नव्वार
नशिम,2,नशिम
नशीम,1,नशीम
नसर,7,नसर
नसरन्ल,1,नसरन्ल
नसरी,2,नसरी
नसरुदिन,1,नसरुदिन
नसरुदुदीन,1,नसरुदुदीन
नसरुदृदीन,1,नसरुदृदीन
नसरुल,2,नसरुल
नसरुल्‍्ला,1,नसरुल््ला
नसरूदीन,2,नसरूदीन
नसार,1,नसार
नसारी,1,नसारी
नसिन,1,नसिन
नसिम,1,नसिम
नसीम,89,नसीम
नसीमी,1,नसीमी
नसीमुद्दीन,1,नसीमुद्दीन
नसीर,13,नसीर
नसीरउदीन,3,नसीरउदीन
नसीरउदृदीन,1,नसीरउदृदीन
नस्तर,1,नस्तर
नागरी,1,नागरी
नागीरआलम,1,नागीरआलम
नाज,1,नाज
नाजम,1,नाजम
नाजमी,1,नाजमी
नाज़िम,1,नाज़िम
नाज़ीर,1,नाज़ीर
नाजामउद्दीन,1,नाजामउद्दीन
नाजाय,1,नाजाय
नाजिम,8,नाजिम
नाजिर,1,नाजिर
नाजीम,7,नाजीम
नाजीर,4,नाजीर
नाट,2,नाट
नाथ,15,नाथ
नाथझा,4,नाथझा
नाथा,1,नाथा
नादिम,2,नादिम
नान,1,नान
नानिया,4,नानिया
नाबीना,7,नाबीना
नायक,31,नायक
नायन,1,नायन
नारयाण,1,नारयाण
नारायण,69,नारायण
नारायणझा,4,नारायणझा
नारायणसिंह,1,नारायणसिंह
नाविजान,1,नाविजान
नासिंह,1,नासिंह
नासिम,3,नासिम
नासिर,2,नासिर
नासिह,1,नासिह
नासीर,2,नासीर
नासीरउदीन,1,नासीरउदीन
निएनर,1,निएनर
निगम,1,निगम
निज़ाम,1,निज़ाम
निज़ामुद्दीन,1,निज़ामुद्दीन
निजाम,2,निजाम
निजामउद्दीन,1,निजामउद्दीन
नियाज,1,नियाज
नियार,1,नियार
निरंजन,3,निरंजन
निरज,1,निरज
निरझर,1,निरझर
निरला,1,निरला
निराला,81,निराला
निर्र,2,निर्र
निर्सर,2,निर्सर
निलम,1,निलम
निवाश,1,निवाश
निवास,4,निवास
निशर,1,निशर
निशा,15,निशा
निशांत,1,निशांत
निशार,7,निशार
निशु,1,निशु
निशू,1,निशू
निश्चल,1,निश्चल
निषर,1,निषर
निषाद,1,निषाद
निषार,1,निषार
निसहर,1,निसहर
निसा,1,निसा
निसार,44,निसार
निस्सार,2,निस्सार
निहाल,1,निहाल
नि्नर,3,नि्नर
नि्र,2,नि्र
नीम,2,नीम
नीरज,5,नीरज
नीलम,2,नीलम
नीलु,1,नीलु
नीशार,1,नीशार
नुत,3,नुत
नुरमलिक,1,नुरमलिक
नुरमियां,1,नुरमियां
नूर,3,नूर
नूरमलिक,3,नूरमलिक
नूरमियां,1,नूरमियां
नेआज,1,नेआज
नेजमा,1,नेजमा
नेजाम,23,नेजाम
नेजामउदीन,1,नेजामउदीन
नेजामी,1,नेजामी
नेपाली,2,नेपाली
नेमत,1,नेमत
नेयाज,6,नेयाज
नेयाज़,3,नेयाज़
नेसार,8,नेसार
नेहाल,15,नेहाल
नैजामा,1,नैजामा
नैशद,1,नैशद
नैसार,2,नैसार
नोएैशाद,1,नोएैशाद
नोठैमन,1,नोठैमन
नोनिया,37,नोनिया
नोनियाँ,28,नोनियाँ
नोनियां,4,नोनियां
नोनीया,61,नोनीया
नोनीयाँ,1,नोनीयाँ
नोमान,4,नोमान
नोमुन,2,नोमुन
नोशाद,1,नोशाद
नौनिया,31,नौनिया
नौनियाँ,6,नौनियाँ
नौनियां,8,नौनियां
नौनीया,41,नौनीया
नौमान,1,नौमान
नौरंग,1,नौरंग
नौशद,1,नौशद
नौशाद,41,नौशाद
नौशादा,1,नौशादा
नौसाद,8,नौसाद
पंउित,6,पंउित
पंकज,6,पंकज
पंडडित,1,पंडडित
पंडती,1,पंडती
पंड़ित,1,पंड़ित
पंडित,5614,पंडित
पंडित',3,पंडित
पंडित-,1,पंडित
पंडितत,1,पंडितत
पंडिता,2,पंडिता
पंडिति,2,पंडिति
पंडिन,1,पंडिन
पंडी,2,पंडी
पंडीज,1,पंडीज
पंडीत,172,पंडीत
पंडें,1,पंडें
पंडेय,1,पंडेय
पंणाड़े,1,पंणाड़े
पंण्डित,1,पंण्डित
पंण्डीत,1,पंण्डीत
पंदेव्य,1,पंदेव्य
पंब्दित,1,पंब्दित
पंरृठिडत,1,पंरृठिडत
पंित,1,पंित
पकुमार,1,पकुमार
पजीलत,1,पजीलत
पटेल,8,पटेल
पटेल',2,पटेल
पड़ित,3,पड़ित
पडित,6,पडित
पडीत,1,पडीत
पणण्ठिडत,1,पणण्ठिडत
पण्ड़ीत,3,पण्ड़ीत
पण्डित,109,पण्डित
पण्डे,2,पण्डे
पण्डेय,1,पण्डेय
पती,1,पती
पदाद,1,पदाद
पनीत,2,पनीत
पन्डित,1,पन्डित
पपासवान,1,पपासवान
पप्रसाद,1,पप्रसाद
पमडिया,5,पमडिया
पमदिया,3,पमदिया
पमाकर,1,पमाकर
पयादव,1,पयादव
परजापती,1,परजापती
परत,1,परत
परदादा,1,परदादा
परमहस,1,परमहस
परवेज,14,परवेज
परवेज़,8,परवेज़
परसद,2,परसद
परसदा,3,परसदा
परसाद,31,परसाद
परी,1,परी
पर्डित,2,पर्डित
पर्णठिडत,1,पर्णठिडत
पल,2,पल
पलटन,1,पलटन
पवन,3,पवन
पसवन,2,पसवन
पसवान,5,पसवान
पसाद,681,पसाद
पसाधीन,1,पसाधीन
पसावान,1,पसावान
पसी,27,पसी
पस्वन्ब,1,पस्वन्ब
पहराज,1,पहराज
पहाड़ी,5,पहाड़ी
पांड,2,पांड
पांडये,5,पांडये
पांडित,5,पांडित
पांडे,645,पांडे
पांडेय,414,पांडेय
पांडेया,1,पांडेया
पांडैया,2,पांडैया
पाठक,87,पाठक
पाड़े,1,पाड़े
पाड़ेंय,5,पाड़ेंय
पाणंडेय,1,पाणंडेय
पाणडेय,5,पाणडेय
पाणुछेय,2,पाणुछेय
पाणुठेय,2,पाणुठेय
पाणेय,1,पाणेय
पाणैय,1,पाणैय
पाण्डये,1,पाण्डये
पाण्डे,176,पाण्डे
पाण्डेण्य,1,पाण्डेण्य
पाण्डेय,1840,पाण्डेय
पाण्डेयक,1,पाण्डेयक
पाण्डेया,3,पाण्डेया
पाण्डेयु,1,पाण्डेयु
पाण॑ंडेय,1,पाण॑ंडेय
पान,1,पान
पान्डे,3,पान्डे
पान्डेय,7,पान्डेय
पाफिज,1,पाफिज
पामवान,1,पामवान
पायडेय,1,पायडेय
पारमांज्ञी,1,पारमांज्ञी
पारी,1,पारी
पार्डेय,1,पार्डेय
पाल,54,पाल
पाली,1,पाली
पावान,1,पावान
पाशवान,1,पाशवान
पास,2,पास
पासपान,1,पासपान
पासबान,1,पासबान
पासवउन,1,पासवउन
पासवन,4,पासवन
पासववान,1,पासववान
पासवाँ,1,पासवाँ
पासवान,8794,पासवान
पासवान',1,पासवान
पासवानद,1,पासवानद
पासवानम,1,पासवानम
पासवाना,1,पासवाना
पासवान्‌,2,पासवान्
पासवाल,1,पासवाल
पासावन,1,पासावन
पासावान,5,पासावान
पासी,116,पासी
पिंटू,1,पिंटू
पिंडत,1,पिंडत
पिठौरी,1,पिठौरी
पिता,1,पिता
पिन्टू,1,पिन्टू
पियुस,1,पियुस
पींत,2,पींत
पीर,4,पीर
पीरअली,1,पीरअली
पुनि,1,पुनि
पुरी,20,पुरी
पुरुषोत्तम,1,पुरुषोत्तम
पूरी,3,पूरी
पेडित,1,पेडित
पेसकार,1,पेसकार
पॉँय,1,पॉँय
पॉंडैया,1,पॉंडैया
पॉडैय,1,पॉडैय
पोण्यय,1,पोण्यय
पौरैशी,1,पौरैशी
प्फष,1,प्फष
प्यागी,1,प्यागी
प्र,5,प्र
प्रकाश,73,प्रकाश
प्रकास,1,प्रकास
प्रक्सुद,1,प्रक्सुद
प्रचकोर,1,प्रचकोर
प्रजापत,3,प्रजापत
प्रजापति,18,प्रजापति
प्रजापती,15,प्रजापती
प्रडित,1,प्रडित
प्रणव,1,प्रणव
प्रण्यादव,1,प्रण्यादव
प्रताप,8,प्रताप
प्रतापराम,1,प्रतापराम
प्रदाद,3,प्रदाद
प्रधान,1,प्रधान
प्रपसाद,1,प्रपसाद
प्रप्रसाद,1,प्रप्रसाद
प्रभकर,1,प्रभकर
प्रभा,1,प्रभा
प्रभाकर,33,प्रभाकर
प्रभात,4,प्रभात
प्रभावती,1,प्रभावती
प्रयसाद,1,प्रयसाद
प्रराउत,1,प्रराउत
प्रवत,1,प्रवत
प्रवीण,5,प्रवीण
प्रवीन,5,प्रवीन
प्रवीर,1,प्रवीर
प्रवेज,26,प्रवेज
प्रवेज़,1,प्रवेज़
प्रवेश,2,प्रवेश
प्रवैज,13,प्रवैज
प्रशाद,3,प्रशाद
प्रसड्स,1,प्रसड्स
प्रसद,15,प्रसद
प्रसवन,1,प्रसवन
प्रसा,3,प्रसा
प्रसाइद,1,प्रसाइद
प्रसाउ,2,प्रसाउ
प्रसाद,17660,प्रसाद
प्रसादइ,2,प्रसादइ
प्रसादउ,3,प्रसादउ
प्रसादक,2,प्रसादक
प्रसादढ़,1,प्रसादढ़
प्रसादद,1,प्रसादद
प्रसादयादव,2,प्रसादयादव
प्रसादश,2,प्रसादश
प्रसादसिह,1,प्रसादसिह
प्रसादा,1,प्रसादा
प्रसादि,2,प्रसादि
प्रसादु,1,प्रसादु
प्रसादे,1,प्रसादे
प्रस्स्द,1,प्रस्स्द
प्राद,1,प्राद
प्रासद,5,प्रासद
प्रासाद,7,प्रासाद
प्रिय,1,प्रिय
प्रियदर्शी,7,प्रियदर्शी
प्रियदेव,1,प्रियदेव
प्रियारंजन,1,प्रियारंजन
प्रियेदर्शी,1,प्रियेदर्शी
प्रीतम,1,प्रीतम
प्रुशोतम,1,प्रुशोतम
प्रेमी,2,प्रेमी
प्रेसाद,1,प्रेसाद
प्र०,3,प्र
फंथूउत,1,फंथूउत
फईम,2,फईम
फकरूदीन,1,फकरूदीन
फकरूदृदीन,1,फकरूदृदीन
फकिरुद्दीन,1,फकिरुद्दीन
फखरुदुदीन,2,फखरुदुदीन
फखरुदृदीन,1,फखरुदृदीन
फखरूउद्वीन,1,फखरूउद्वीन
फखरूदीन,1,फखरूदीन
फखरूदृदीन,1,फखरूदृदीन
फजल,1,फजल
फजीहत,2,फजीहत
फठक,1,फठक
फतह,3,फतह
फयाज,1,फयाज
फरह,3,फरह
फरहत,1,फरहत
फरहान,1,फरहान
फरीद,10,फरीद
फरूक,1,फरूक
फरोकस,1,फरोकस
फरोज,5,फरोज
फरोश,14,फरोश
फरोस,13,फरोस
फरौज,1,फरौज
फरौस,2,फरौस
फसी,1,फसी
फसीउदीन,2,फसीउदीन
फसीह,1,फसीह
फहीम,6,फहीम
फहीमउदीन,1,फहीमउदीन
फहीमा,1,फहीमा
फ़ऊदार,1,फ़ऊदार
फ़क़रुदूदीन,1,फ़क़रुदूदीन
फ़क्कदुदीन,1,फ़क्कदुदीन
फ़ख़रुदुदीन,1,फ़ख़रुदुदीन
फ़याज़,1,फ़याज़
फ़रीद,2,फ़रीद
फ़िरोज़,4,फ़िरोज़
फ़ीरदौस,1,फ़ीरदौस
फादर,1,फादर
फामेक,1,फामेक
फार,1,फार
फारुक,15,फारुक
फारुख,1,फारुख
फारूक,15,फारूक
फारूख,5,फारूख
फासक,1,फासक
फिरदोस,1,फिरदोस
फिरदौशी,1,फिरदौशी
फिरदौस,1,फिरदौस
फिरदौसी,1,फिरदौसी
फिरोज,25,फिरोज
फिरोज़,2,फिरोज़
फिरोस,3,फिरोस
फिरौस,1,फिरौस
फुरकान,1,फुरकान
फुर्कान,1,फुर्कान
फेकाशिम,1,फेकाशिम
फेकु,2,फेकु
फेकू,2,फेकू
फेयादव,1,फेयादव
फेलु,1,फेलु
फैकू,1,फैकू
फैजल,1,फैजल
फैज़म,1,फैज़म
फैजुद्दीन,1,फैजुद्दीन
फैजुलाह,1,फैजुलाह
फैजुल्लाह,2,फैजुल्लाह
फैयज,1,फैयज
फैयाज,12,फैयाज
फैयाजउद्दीन,2,फैयाजउद्दीन
फैयाज़,3,फैयाज़
फैसल,1,फैसल
फोएलाद,1,फोएलाद
फौलाद,3,फौलाद
फ्रैयाज़,1,फ्रैयाज़
बंगलु,1,बंगलु
बंजारा,1,बंजारा
बंशकारी,1,बंशकारी
बंशी,41,बंशी
बंशीमित्री,1,बंशीमित्री
बंसी,2,बंसी
बकर,1,बकर
बकश,4,बकश
बकस,4,बकस
बकास,1,बकास
बकील,3,बकील
बकु7स,1,बकुस
बकु?सें,1,बकुसें
बकुएस,3,बकुएस
बकृ7स,3,बकृस
बक्श,4,बक्श
बक्स,14,बक्स
बक्सा,1,बक्सा
बक्सी,1,बक्सी
बक्‌?स,1,बक्स
बक्‌ु?स,1,बक्ुस
बक्‍्श,2,बक््श
बक्‍्स,5,बक््स
बखस,2,बखस
बख्त,1,बख्त
बख्श,9,बख्श
बच्चन,2,बच्चन
बज्जकुए,1,बज्जकुए
बढ़ई,1,बढ़ई
बदरउदीन,1,बदरउदीन
बदरउद्दीन,1,बदरउद्दीन
बदरुउदृदीन,1,बदरुउदृदीन
बदरुदुदीन,3,बदरुदुदीन
बदरुदृदीन,2,बदरुदृदीन
बदरूउदृदीन,1,बदरूउदृदीन
बदरूदीन,2,बदरूदीन
बदरूदुदीन,1,बदरूदुदीन
बदरूदृदीन,1,बदरूदृदीन
बदीन,1,बदीन
बदुद,2,बदुद
बदृज्ज़मा,1,बदृज्ज़मा
बद्ु्दिदन,1,बद्ु्दिदन
बनाम,1,बनाम
बन्घु,1,बन्घु
बन्धु,2,बन्धु
बबलू,3,बबलू
बब्लू,1,बब्लू
बरई,23,बरई
बरतीयार,1,बरतीयार
बरनवाल,3,बरनवाल
बरनावाल,1,बरनावाल
बरसी,2,बरसी
बरातन,1,बरातन
बराती,4,बराती
बरिक,2,बरिक
बरिछ,1,बरिछ
बरैय,2,बरैय
बर्णवाल,1,बर्णवाल
बर्नवाल,1,बर्नवाल
बर्मा,5,बर्मा
बर्सी,1,बर्सी
बर॑य,2,बर॑य
बलदैव,2,बलदैव
बलभ,1,बलभ
बला,1,बला
बलाल,4,बलाल
बल्लभ,1,बल्लभ
बल्स,1,बल्स
बल्‍्ला,1,बल््ला
बशर,2,बशर
बशल,1,बशल
बशीर,3,बशीर
बसकारी,1,बसकारी
बसकी,1,बसकी
बसर,2,बसर
बसाउ,1,बसाउ
बसारत,3,बसारत
बसीर,14,बसीर
बसु,1,बसु
बहब,1,बहब
बहादुर,5,बहादुर
बहादूर,1,बहादूर
बहाब,4,बहाब
बहाव,4,बहाव
बहुद,1,बहुद
बहुदुर,1,बहुदुर
बाँसकारी,1,बाँसकारी
बांसकारी,3,बांसकारी
बाकी,1,बाकी
बाक्स,1,बाक्स
बागम,1,बागम
बाज,2,बाज
बादशाह,1,बादशाह
बानी,1,बानी
बानु,1,बानु
बानों,4,बानों
बाबर,2,बाबर
बाबा,1,बाबा
बाबु,6,बाबु
बाबुलाल,3,बाबुलाल
बाबू,3,बाबू
बाबूल,1,बाबूल
बारिक,18,बारिक
बारिस,1,बारिस
बारी,3,बारी
बारीक,12,बारीक
बारीक्र,6,बारीक्र
बाल,2,बाल
बालक,3,बालक
बालू,1,बालू
बासा,1,बासा
बासुदेव,2,बासुदेव
बास्कारी,1,बास्कारी
बाहीद,1,बाहीद
बिक्रम,2,बिक्रम
बिगहा,1,बिगहा
बिधार्थी,1,बिधार्थी
बिन्दु,1,बिन्दु
बिरहोर,1,बिरहोर
बिरहोरी,1,बिरहोरी
बिरोहर,1,बिरोहर
बिलन,1,बिलन
बिल्‍्ला,1,बिल््ला
बिशकर्मा,2,बिशकर्मा
बिशवकर्मा,2,बिशवकर्मा
बिश्वकर्म,1,बिश्वकर्म
बिश्वकर्मा,1,बिश्वकर्मा
बिहरी,4,बिहरी
बिहार,4,बिहार
बिहारी,42,बिहारी
बीघा,1,बीघा
बीबी,1,बीबी
बीस,4,बीस
बुदीन,4,बुदीन
बुधन,1,बुधन
बुरैशी,2,बुरैशी
बुल,1,बुल
बेगम,10,बेगम
बेलाल,2,बेलाल
बेसरा,4,बेसरा
बैगम,6,बैगम
बैनजीर,1,बैनजीर
बैला,1,बैला
बैसरा,2,बैसरा
बॉस,1,बॉस
बोस,3,बोस
ब्रत,1,ब्रत
ब्रिचा,1,ब्रिचा
भंडारे,1,भंडारे
भईयां,1,भईयां
भगत,89,भगत
भगवान,1,भगवान
भग्गु,1,भग्गु
भट,2,भट
भदानी,11,भदानी
भरती,2,भरती
भरद्वाज,7,भरद्वाज
भला,2,भला
भल्‍्ला,1,भल््ला
भाईदुआज,1,भाईदुआज
भान,1,भान
भानो,1,भानो
भारती,81,भारती
भारतीय,3,भारतीय
भारतेन्दु,1,भारतेन्दु
भारद्वाज,9,भारद्वाज
भाला,1,भाला
भास्कर,4,भास्कर
भुइंया,2,भुइंया
भुइयया,1,भुइयया
भुइया,16,भुइया
भुइयाँ,7,भुइयाँ
भुइयां,27,भुइयां
भुइयोँ,1,भुइयोँ
भुईया,18,भुईया
भुईयाँ,6,भुईयाँ
भुईयां,10,भुईयां
भुट्टो,1,भुट्टो
भुठुला,1,भुठुला
भुनना,2,भुनना
भुन्या,2,भुन्या
भुन्‍ना,1,भुन्ना
भुला,352,भुला
भुल्ला,62,भुल्ला
भुल्‍्ला,4,भुल््ला
भुषण,5,भुषण
भूइयाँ,1,भूइयाँ
भूइयां,2,भूइयां
भूईयां,1,भूईयां
भून्‍नो,1,भून्नो
भूल,1,भूल
भूला,106,भूला
भूली,1,भूली
भूषण,21,भूषण
भैया,1,भैया
भोखतार,1,भोखतार
भोदु,1,भोदु
मं0ाझी,1,मंाझी
मंउल,3,मंउल
मंएाझी,5,मंएाझी
मंएाझ्नी,1,मंएाझ्नी
मंगल,1,मंगल
मंछाझी,7,मंछाझी
मंछाझ्ञी,3,मंछाझ्ञी
मंछाझ्ी,3,मंछाझ्ी
मंजर,13,मंजर
मंज़ूर,2,मंज़ूर
मंजिर,1,मंजिर
मंजी,1,मंजी
मंजीत,2,मंजीत
मंजुर,2,मंजुर
मंजुला,1,मंजुला
मंजूर,2,मंजूर
मंज्झी,2,मंज्झी
मंज्ञी,9,मंज्ञी
मंझ,1,मंझ
मंझी,1,मंझी
मंझो,4,मंझो
मंठाझी,4,मंठाझी
मंडल,1321,मंडल
मंडला,1,मंडला
मंणाज्ञी,6,मंणाज्ञी
मंणाझी,6,मंणाझी
मंणाझ्ञी,4,मंणाझ्ञी
मंणाझ्ी,1,मंणाझ्ी
मंणा्ञी,1,मंणा्ञी
मंण्डल,1,मंण्डल
मंथ,1,मंथ
मंदी,1,मंदी
मंनोर,1,मंनोर
मंसुर,4,मंसुर
मंसुरी,16,मंसुरी
मंसूर,5,मंसूर
मंसूरी,29,मंसूरी
मंाझी,2,मंाझी
मउल,1,मउल
मकबुल,8,मकबुल
मकबूल,7,मकबूल
मकसुद,4,मकसुद
मकसूद,6,मकसूद
मक़बूल,1,मक़बूल
मक़सूद,2,मक़सूद
मकुल,1,मकुल
मख्लुख,1,मख्लुख
मग्सुद,1,मग्सुद
मची,6,मची
मजनूर,1,मजनूर
मजहर,4,मजहर
मज़ीद,2,मज़ीद
मजिद,10,मजिद
मजीज,1,मजीज
मजीद,92,मजीद
मजीव,1,मजीव
मज्हही,1,मज्हही
मझ,1,मझ
मझियान,1,मझियान
मझी,1,मझी
मडंल,6,मडंल
मडल,8,मडल
मणि,7,मणि
मणिकान्त,2,मणिकान्त
मणीर,2,मणीर
मण्डल,15,मण्डल
मतिन,5,मतिन
मतिना,2,मतिना
मतिम,1,मतिम
मतीन,27,मतीन
मतीम,1,मतीम
मतों,2,मतों
मतौ,1,मतौ
मत्था,1,मत्था
मद,1,मद
मदन,2,मदन
मदहुम,1,मदहुम
मदानी,1,मदानी
मध्या,4,मध्या
मन,1,मन
मनअवर,1,मनअवर
मनजर,2,मनजर
मनजाम,1,मनजाम
मनजोस,1,मनजोस
मनन,8,मनन
मनवर,1,मनवर
मनसुर,2,मनसुर
मनही,1,मनही
मनाजिर,1,मनाजिर
मनान,34,मनान
मनिरुद्धीन,1,मनिरुद्धीन
मनिर्दुद्धीन,1,मनिर्दुद्धीन
मनीर,8,मनीर
मनीरउदीन,1,मनीरउदीन
मनीरउद्दीन,1,मनीरउद्दीन
मनोज,1,मनोज
मनौअर,1,मनौअर
मनौर,1,मनौर
मनौरवर,1,मनौरवर
मनौवर,13,मनौवर
मन्जूर,1,मन्जूर
मन्झी,1,मन्झी
मन्दु,1,मन्दु
मन्सुर,2,मन्सुर
मन्सुरी,1,मन्सुरी
मन्सूर,1,मन्सूर
मन्‍ना,1,मन्ना
मन्‍नान,17,मन्नान
मन्‍नौर,1,मन्नौर
ममहतों,1,ममहतों
ममहद,1,ममहद
मम्मट,1,मम्मट
मयाँ,2,मयाँ
मरणी,1,मरणी
मरण्डी,4,मरण्डी
मरतजाउद्दीन,1,मरतजाउद्दीन
मरन्डी,5,मरन्डी
मरमु,2,मरमु
मरहन,1,मरहन
मरहम,5,मरहम
मरहुन,3,मरहुन
मरहुम,15,मरहुम
मरहुमहनान,1,मरहुमहनान
मरहून,1,मरहून
मरहूम,14,मरहूम
मरांडी,19,मरांडी
मराडी,17,मराडी
मराण्डी,22,मराण्डी
मरानंदी,1,मरानंदी
मरान्डी,16,मरान्डी
मरिदुगुल,1,मरिदुगुल
मरुई,1,मरुई
मरुहुम,2,मरुहुम
मल,2,मल
मलकर,6,मलकर
मललु,1,मललु
मलल्‍्लीक,1,मलल््लीक
मलाकर,9,मलाकर
मलाकार,1,मलाकार
मलालकर,1,मलालकर
मलाह,1,मलाह
मलि,1,मलि
मलिक,223,मलिक
मलिक्क,1,मलिक्क
मलिम,1,मलिम
मलीक,1,मलीक
मलोइक,1,मलोइक
मल्लाह,1,मल्लाह
मल्लिक,25,मल्लिक
मल्लीक,5,मल्लीक
मल्‍्लीक,1,मल््लीक
मसतान,1,मसतान
मसा,1,मसा
मसाद,1,मसाद
मसित्री,1,मसित्री
मसीम,1,मसीम
मसुंर,1,मसुंर
मसुरल,1,मसुरल
मसूद,3,मसूद
मसूरी,3,मसूरी
मस्तान,1,मस्तान
मस्ताना,1,मस्ताना
मस्तुफा,1,मस्तुफा
मस्सन,1,मस्सन
महंथ,1,महंथ
महइतो,1,महइतो
महजवीन,1,महजवीन
महत,1,महत
महततों,1,महततों
महता,26,महता
महताब,4,महताब
महती,21,महती
महतीएं,1,महतीएं
महते,1,महते
महतो,15112,महतो
महतों,13,महतों
महतोउ,1,महतोउ
महतोक,2,महतोक
महतोठि,1,महतोठि
महतौ,46,महतौ
महतौोक,1,महतौोक
महत्ती,1,महत्ती
महत्रो,2,महत्रो
महथ,3,महथ
महथा,235,महथा
महथो,1,महथो
महनो,1,महनो
महन्झी,1,महन्झी
महफूज,6,महफूज
महफूज़,1,महफूज़
महबुब,1,महबुब
महबूब,5,महबूब
महमद,1,महमद
महमुद,10,महमुद
महमूद,15,महमूद
महमों,1,महमों
महया,3,महया
महरसी,1,महरसी
महराज,106,महराज
महराम,1,महराम
महरुन,1,महरुन
महरूम,1,महरूम
महल्‍्तो,1,महल््तो
महसुर्मिया,1,महसुर्मिया
महाटो,1,महाटो
महाते,2,महाते
महातो,5,महातो
महातों,3,महातों
महातौ,3,महातौ
महाथा,1,महाथा
महाराज,203,महाराज
महालक्ष्मी,1,महालक्ष्मी
महुड,1,महुड
महुथा,2,महुथा
महुम,1,महुम
महूथा,18,महूथा
महृतौ९,2,महृतौ
महृत्गों,1,महृत्गों
महृथा,28,महृथा
महेता,3,महेता
महोत,6,महोत
माँ,13,माँ
माँजञी,11,माँजञी
माँजी,1,माँजी
माँज्ञी,77,माँज्ञी
माँझ,1,माँझ
माँझञी,17,माँझञी
माँझी,926,माँझी
माँझ्ञी,7,माँझ्ञी
माँमझ्ञी,1,माँमझ्ञी
माँसी,1,माँसी
मांघी,1,मांघी
मांजझीन,1,मांजझीन
मांजञी,3,मांजञी
मांजी,1,मांजी
मांज्ञी,1839,मांज्ञी
मांज्ञीएं,1,मांज्ञीएं
मांझ,7,मांझ
मांझि,1,मांझि
मांझी,15915,मांझी
मांझी',1,मांझी
मांझीउ,1,मांझीउ
मांझीएू,1,मांझीएू
मांझीठि,1,मांझीठि
मांझो,1,मांझो
मांझ्ञी,329,मांझ्ञी
मांड्ञी,1,मांड्ञी
मांहतों,1,मांहतों
माईन,1,माईन
माकूल,1,माकूल
माख्तार,1,माख्तार
माघ,1,माघ
माघी,1,माघी
माची,1,माची
माजझी,17,माजझी
माजझ्ञी,8,माजझ्ञी
माजिद,22,माजिद
माजिब,1,माजिब
माजी,2,माजी
माजीद,1,माजीद
माज्ञी,59,माज्ञी
माझञी,3,माझञी
माझी,812,माझी
माझीं,1,माझीं
माझो,1,माझो
माझ्जी,2,माझ्जी
माझ्ञी,105,माझ्ञी
माझ्ी,6,माझ्ी
माथा,2,माथा
माथुर,1,माथुर
माथुरी,2,माथुरी
माथो,1,माथो
माथो.,1,माथो
माथौ,1,माथौ
माधव,1,माधव
माधवन,1,माधवन
माध्व,1,माध्व
मान,1,मान
मानन,1,मानन
मानव,1,मानव
मानिक,1,मानिक
मानी,1,मानी
मार,46,मार
मारूम,1,मारूम
माला,2,माला
मालाकर,3,मालाकर
मालाकार,278,मालाकार
मालिक,45,मालिक
माली,224,माली
मालीक,2,मालीक
मालो,4,मालो
मालौ,1,मालौ
माल्लिक,1,माल्लिक
मासुम,1,मासुम
मासूम,2,मासूम
मास्टर,1,मास्टर
माहता,1,माहता
माहती,3,माहती
माहतो,100,माहतो
माहतों,84,माहतों
माहतौ,61,माहतौ
माहिर,1,माहिर
माहीर,2,माहीर
माहृतो,19,माहृतो
माहृतों,13,माहृतों
माॉँझी,1,माॉँझी
मिंया,150,मिंया
मिंस्त्री,4,मिंस्त्री
मिकाइल,1,मिकाइल
